 value  |                           label                           
 109537 | Unknown Rutronik Stars Keltern vs Yakin Dogu Universitesi
 110736 | Unknown Bellona AGÜ vs Cavigal Nice Basket
 110737 | Unknown Spar Citylift Girona vs TSV 1880
 110738 | Unknown Carolo Basket vs Good Angels Kosice
 110740 | Unknown Virtus Eirene Ragusa vs Basketball Nymburk
 110810 | Unknown Maccabi Bnot vs Reyer Venezia
 104831 | Unknown Yakin Dogu Universitesi vs Olympiacos
 101418 | Unknown PEAC Pécs vs Pieštanské Cajky
 101419 | Unknown Samsun Canik vs Chevakata
 101421 | Unknown Yakin Dogu Universitesi vs Istanbul Universitesi 
 101422 | Unknown VBW CEKK Ceglèd vs Enisey 
 101424 | Unknown Rutronik Stars Keltern vs KP Brno
 101425 | Unknown Amsterdam Angels vs Nantes Reze
 101426 | Unknown Pieštanské Cajky vs PEAC Pécs
 101427 | Unknown KP Brno vs Rutronik Stars Keltern
 101428 | Unknown Elfic Fribourg vs Basket 90 Gdynia
 101429 | Unknown Carolo Basket vs Eisvögel USC
 101430 | Unknown Nantes Reze vs Amsterdam Angels
 101431 | Unknown Chevakata vs Samsun Canik
 101432 | Unknown Enisey  vs VBW CEKK Ceglèd
 101433 | Unknown Istanbul Universitesi  vs Yakin Dogu Universitesi
 101434 | Unknown Sparta&k M.R. Vidnoje vs Maccabi Bnot
 101435 | Unknown Bellona AGÜ vs Pinkk Pécsi 424
 101436 | Unknown Good Angels Kosice vs Aluinvent Miskolc
 101437 | Unknown TSV 1880 vs Lulea BBK
 101438 | Unknown Galatasaray vs TTT Riga
 101439 | Unknown Basket Landes vs Cavigal Nice Basket
 101440 | Unknown Namur vs Virtus Eirene Ragusa
 101441 | Unknown Castors Braine vs União Sportiva
 102201 | Unknown Pinkk Pécsi 424 vs MBA Moscow
 102202 | Unknown Umea Udominate vs TSV 1880
 102203 | Unknown Reyer Venezia vs Basket Landes
 102317 | Unknown Aluinvent Miskolc vs Olympiacos
 102318 | Unknown Basketball Nymburk vs Namur
 102319 | Unknown Maccabi Bnot vs Hoptrans-Sirenos
 102320 | Unknown TTT Riga vs Dynamo Novosibirsk
 102321 | Unknown Spar Citylift Girona vs Castors Braine
 102816 | Unknown Olympiacos vs Good Angels Kosice
 102817 | Unknown Dynamo Novosibirsk vs Galatasaray
 102818 | Unknown Cavigal Nice Basket vs Reyer Venezia
 102819 | Unknown Virtus Eirene Ragusa vs Basketball Nymburk
 102820 | Unknown União Sportiva vs Spar Citylift Girona
 102894 | Unknown MBA Moscow vs Bellona AGÜ
 102895 | Unknown Lulea BBK vs Umea Udominate
 102896 | Unknown Hoptrans-Sirenos vs Sparta&k M.R. Vidnoje
 102991 | Unknown MBA Moscow vs PEAC Pécs
 102992 | Unknown PEAC Pécs vs Bellona AGÜ
 102993 | Unknown Cavigal Nice Basket vs Elfic Fribourg
 102994 | Unknown União Sportiva vs Rutronik Stars Keltern
 102995 | Unknown Lulea BBK vs Carolo Basket
 102996 | Unknown Virtus Eirene Ragusa vs Nantes Reze
 102997 | Unknown Pinkk Pécsi 424 vs PEAC Pécs
 103095 | Unknown Dynamo Novosibirsk vs Samsun Canik
 103096 | Unknown Olympiacos vs Yakin Dogu Universitesi
 103097 | Unknown Hoptrans-Sirenos vs VBW CEKK Ceglèd
 103098 | Unknown Aluinvent Miskolc vs Yakin Dogu Universitesi
 103099 | Unknown Maccabi Bnot vs VBW CEKK Ceglèd
 103100 | Unknown TTT Riga vs Samsun Canik
 103200 | Unknown Rutronik Stars Keltern vs Spar Citylift Girona
 103201 | Unknown Elfic Fribourg vs Reyer Venezia
 103203 | Unknown Carolo Basket vs Umea Udominate
 103204 | Unknown Yakin Dogu Universitesi vs Good Angels Kosice
 103205 | Unknown Elfic Fribourg vs Basket Landes
 103206 | Unknown Nantes Reze vs Namur
 103207 | Unknown Carolo Basket vs TSV 1880
 103257 | Unknown VBW CEKK Ceglèd vs Sparta&k M.R. Vidnoje
 103372 | Unknown Samsun Canik vs Galatasaray
 103434 | Unknown Castors Braine vs Rutronik Stars Keltern
 104718 | Unknown Aluinvent Miskolc vs Good Angels Kosice
 104719 | Unknown PEAC Pécs vs MBA Moscow
 104720 | Unknown Pinkk Pécsi 424 vs Bellona AGÜ
 104722 | Unknown União Sportiva vs Castors Braine
 104723 | Unknown Reyer Venezia vs Elfic Fribourg
 104830 | Unknown Samsun Canik vs Dynamo Novosibirsk
 104832 | Unknown VBW CEKK Ceglèd vs Hoptrans-Sirenos
 104834 | Unknown Maccabi Bnot vs Sparta&k M.R. Vidnoje
 104835 | Unknown Umea Udominate vs Carolo Basket
 104836 | Unknown Lulea BBK vs TSV 1880
 104837 | Unknown TTT Riga vs Galatasaray
 104838 | Unknown Spar Citylift Girona vs Rutronik Stars Keltern
 104839 | Unknown Virtus Eirene Ragusa vs Namur
 106161 | Unknown Rutronik Stars Keltern vs Castors Braine
 106162 | Unknown Galatasaray vs Dynamo Novosibirsk
 106163 | Unknown Basket Landes vs Elfic Fribourg
 106164 | Unknown Spar Citylift Girona vs União Sportiva
 106166 | Unknown Reyer Venezia vs Cavigal Nice Basket
 106250 | Unknown Samsun Canik vs TTT Riga
 106251 | Unknown Yakin Dogu Universitesi vs Aluinvent Miskolc
 106252 | Unknown Sparta&k M.R. Vidnoje vs Hoptrans-Sirenos
 106254 | Unknown VBW CEKK Ceglèd vs Maccabi Bnot
 106255 | Unknown Basketball Nymburk vs Virtus Eirene Ragusa
 106256 | Unknown Umea Udominate vs Lulea BBK
 108290 | Unknown Bellona AGÜ vs PEAC Pécs
(197 rows)

 value  |                           label                           
--------+-----------------------------------------------------------
 104721 | 2007-02-08 Cavigal Nice Basket vs Basket Landes
 110811 | 2008-12-03 TTT Riga vs VBW CEKK Ceglèd
 108292 | 2010-07-14 Elfic Fribourg vs Cavigal Nice Basket
 103202 | 2010-11-17 Nantes Reze vs Basketball Nymburk
 101423 | 2010-12-01 Eisvögel USC vs Carolo Basket
 10068  | 2011-11-02 Dexia Namur vs Optimum Ted Ankara
 10081  | 2011-11-02 Olimpia  vs Dynamo Kursk
 10066  | 2011-11-02 Lemminkainen vs Hainaut Basket
 10067  | 2011-11-02 Flying Foxes vs Gran Canaria
 10069  | 2011-11-02 Lombos vs Botas
 10065  | 2011-11-02 Lotto Young Cats vs Besiktas JK
 10084  | 2011-11-03 BBC Sint-Katelijne-Waver vs Arras
 10076  | 2011-11-03 Maccabi Bnot  vs Kayseri Kaskispor
